pair,open_date,close_date,open_rate,close_rate,stake_amount,profit_abs,profit_ratio,exit_reason
AVAX/USDT,2021-07-05 18:05:00,2021-07-05 19:00:00,12.149,12.157,29.87176744606722,-0.040092932749653906,-0.0013421680796772658,exit_signal
DOGE/USDT,2021-07-05 18:50:00,2021-07-05 19:00:00,0.23413,0.2344,30.07607411961128,-0.025502938516920745,-0.0008479477213514181,exit_signal
ETH/USDT,2021-07-05 18:25:00,2021-07-05 19:00:00,2231.35,2231.05,29.920609990974246,-0.0638599560898145,-0.0021343133080869102,exit_signal
AVAX/USDT,2021-07-05 19:05:00,2021-07-05 19:15:00,12.052,12.054,30.033353696583674,-0.05508772957323753,-0.001834218386989656,exit_signal
AVAX/USDT,2021-07-05 19:20:00,2021-07-05 19:30:00,12.046,12.069,30.015174745824506,-0.002778259990166898,-9.256184625589726e-05,exit_signal
AVAX/USDT,2021-07-05 19:35:00,2021-07-05 19:40:00,12.062,12.064,30.01425792002775,-0.05505682894532532,-0.0018343558282208038,exit_signal
AVAX/USDT,2021-07-05 19:45:00,2021-07-05 19:50:00,12.028,12.028,29.996089166475794,-0.05999217833295158,-0.0019999999999999996,exit_signal
UNI/USDT,2021-07-05 19:10:00,2021-07-05 19:50:00,20.097,20.213,30.033353696583674,0.11311263080531461,0.0037662337662337487,exit_signal
AVAX/USDT,2021-07-05 20:00:00,2021-07-05 20:05:00,12.031,12.049,30.013618915791678,-0.015167716981800868,-0.0005053611503616569,exit_signal
UNI/USDT,2021-07-05 20:00:00,2021-07-05 20:05:00,20.183,20.158,30.013618915791678,-0.09716691639383152,-0.003237427538026982,exit_signal
ADA/USDT,2021-07-05 20:20:00,2021-07-05 20:25:00,1.4155,1.419,29.976548486777716,0.014093530920489108,0.0004701518897916346,exit_signal
AVAX/USDT,2021-07-05 20:20:00,2021-07-05 20:25:00,11.95,11.983,29.976548486777716,0.02274454938323439,0.0007587447698745815,exit_signal
DOGE/USDT,2021-07-05 20:25:00,2021-07-05 21:05:00,0.23429,0.23459,29.988705053277943,-0.02161634089972999,-0.0007208160826326575,exit_signal
ETH/USDT,2021-07-05 20:25:00,2021-07-05 21:05:00,2223.23,2225.3,29.988705053277943,-0.03208351570929156,-0.0010698533215186177,exit_signal
SOL/USDT,2021-07-05 21:20:00,2021-07-05 21:25:00,33.347,33.304,29.97098410059697,-0.09855004580965412,-0.0032881818454433462,exit_signal
AVAX/USDT,2021-07-05 21:35:00,2021-07-05 21:40:00,12.047,12.062,29.938462585479783,-0.022637125897831123,-0.0007561218560638507,exit_signal
AAVE/USDT,2021-07-05 20:10:00,2021-07-05 21:45:00,297.71,303.6642,29.976548486777716,0.5389783417922648,0.017980000000000048,roi
AVAX/USDT,2021-07-05 21:45:00,2021-07-05 22:05:00,12.274,12.309,30.10885518672494,0.02555352325893092,0.0008487045787844343,exit_signal
AAVE/USDT,2021-07-05 21:50:00,2021-07-05 22:10:00,303.07,309.1314,30.10885518672494,0.5413572162573137,0.017979999999999975,roi
AAVE/USDT,2021-07-05 22:10:00,2021-07-05 22:15:00,307.1,309.5,30.295935730765304,0.1759354340027553,0.005807228915662576,exit_signal
AVAX/USDT,2021-07-05 22:15:00,2021-07-05 22:20:00,12.254,12.281,30.35399442398621,0.0061059732540523146,0.00020115880528815268,exit_signal
AAVE/USDT,2021-07-05 22:30:00,2021-07-05 22:35:00,309.23,310.26,30.356009395160047,0.040298306816306056,0.0013275232027939485,exit_signal
AAVE/USDT,2021-07-05 22:45:00,2021-07-05 23:00:00,309.33,311.45,30.369307836409433,0.14718997088708463,0.004846668606342756,exit_signal
NEAR/USDT,2021-07-05 22:50:00,2021-07-05 23:00:00,2.1804,2.1843,30.369307836409433,-0.006472490071356522,-0.00021312603192084358,exit_signal
SOL/USDT,2021-07-05 23:15:00,2021-07-05 23:20:00,33.18,33.181,30.41574460507862,-0.05991571679121804,-0.0019698915009042296,exit_signal
LINK/USDT,2021-07-05 23:25:00,2021-07-05 23:30:00,18.561,18.529,30.395972418537514,-0.11314356631629534,-0.0037223209956360128,exit_signal
AVAX/USDT,2021-07-05 22:30:00,2021-07-05 23:35:00,12.212,12.176,30.356009395160047,-0.15010962130321917,-0.0049449721585325575,exit_signal
DOGE/USDT,2021-07-05 23:30:00,2021-07-05 23:35:00,0.23354,0.23365,30.35863504165314,-0.04643230645939932,-0.0015294596214781237,exit_signal
ADA/USDT,2021-07-05 23:40:00,2021-07-05 23:45:00,1.4121,1.4141,30.29377620549148,-0.017724465619274134,-0.0005850860420650082,exit_signal
AVAX/USDT,2021-07-05 23:40:00,2021-07-06 00:10:00,12.096,12.33792,30.29377620549148,0.5446820961747377,0.01798000000000003,roi
AVAX/USDT,2021-07-06 00:10:00,2021-07-06 00:35:00,12.359,12.483,30.46767222357478,0.24444643113077474,0.008023141030827782,exit_signal
DOGE/USDT,2021-07-05 23:45:00,2021-07-06 00:35:00,0.23289,0.23435,30.28792713183712,0.12911092163425772,0.00426278500579668,exit_signal
LINK/USDT,2021-07-06 00:35:00,2021-07-06 00:45:00,18.745,18.782,30.590946149987243,-0.0008600388701559339,-2.8114163777059e-05,exit_signal
ETH/USDT,2021-07-06 00:35:00,2021-07-06 01:05:00,2244.6,2231.54,30.590946149987243,-0.23899452660546894,-0.007812590216519623,exit_signal
AVAX/USDT,2021-07-06 00:45:00,2021-07-06 01:20:00,12.52,12.447,30.590662337160087,-0.23936704610100434,-0.007824840255591086,exit_signal
DOGE/USDT,2021-07-06 01:10:00,2021-07-06 01:20:00,0.23272,0.23302,30.511794143380286,-0.021730082336387117,-0.0007121863183224703,exit_signal
LINK/USDT,2021-07-06 01:20:00,2021-07-06 01:30:00,18.646,18.745,30.425632090995943,0.10053055708968009,0.003304140298187289,exit_signal
NEAR/USDT,2021-07-06 01:20:00,2021-07-06 01:30:00,2.2236,2.2371,30.425632090995943,0.12368520244654692,0.0040651645979493025,exit_signal
AVAX/USDT,2021-07-06 01:35:00,2021-07-06 01:40:00,12.411,12.447,30.4996232916429,0.027381097632380363,0.0008977519941986617,exit_signal
DOGE/USDT,2021-07-06 01:35:00,2021-07-06 01:40:00,0.233,0.23352,30.4996232916429,0.007000514393291156,0.00022952789699567678,exit_signal
AVAX/USDT,2021-07-06 01:45:00,2021-07-06 02:15:00,12.447,12.355,30.51096922361138,-0.28631334677080567,-0.009383947939262373,exit_signal
LINK/USDT,2021-07-06 01:40:00,2021-07-06 02:15:00,18.628,18.52,30.51096922361138,-0.2377392184275693,-0.007791926132703486,exit_signal
